ticker,date,open,high,low,close,volume,source,collected_at,daily_return,log_return,price_change_7d,price_change_30d,price_change_90d,volatility_7d,volatility_30d,volatility_90d,avg_volume_30d,std_volume_30d,volume_change_30d,volume_zscore_30d,avg_return_30d,std_return_30d,return_zscore_30d,daily_range,open_gap
AAPL,2015-05-13,28.167,28.4023,28.1062,28.1376,155379331.0,stooq,2026-05-21 19:51:02.287737+00:00,0.0011884344688695148,0.0011877288396335212,-0.01670073910992298,0.017024137407559925,0.16200489785130512,0.012969664348646057,0.013186429535321524,0.016066233687918454,217353230.9,94016158.69121233,-0.28512987657640565,-0.6591834931646989,0.0006467570104150481,0.013186429535321524,0.04107840238356523,0.010523285568065477,0.002234541456437218
AAPL,2015-05-14,28.4505,28.797,28.3955,28.797,202444982.0,stooq,2026-05-21 19:51:02.287737+00:00,0.023434834527465087,0.02316445484696369,0.029280357998127116,0.04234232929866222,0.22365988909426981,0.012756413387894695,0.01381776085272271,0.015905611530139783,218011922.33333334,93833933.5374592,-0.07140407811978275,-0.16589883580995682,0.001475388155234151,0.01381776085272271,1.5892188760745527,0.013942424558113769,0.011120351415899104
AAPL,2015-05-15,28.8244,28.9237,28.628,28.7557,171052227.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.0014341771712330642,-0.0014352065876737348,0.03452655058281784,0.03197964442339041,0.22180110896305583,0.012179109880285807,0.013760812571428038,0.015908869163800108,218883610.93333334,93250996.00116521,-0.21852428205737898,-0.5129316145077492,0.0011411495551768532,0.013760812571428038,-0.18714932080080365,0.010283178639365415,0.0009514880022224568
AAPL,2015-05-18,28.6644,29.1845,28.6596,29.0639,227617764.0,stooq,2026-05-21 19:51:02.287737+00:00,0.010717875064769844,0.010660845768514518,0.039035464035463985,0.02648150568091512,0.2176217248862562,0.012374863667863695,0.01359191274363663,0.0158840564983507,220895204.66666666,92748755.8726738,0.030433251565953008,0.07248139632796934,0.0009606927527941233,0.01359191274363663,0.7178667562108778,0.018060205271832025,-0.0031750226911534192
AAPL,2015-05-19,29.1776,29.2201,28.953,29.0373,199891497.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.0009152247289593296,-0.000915643802828936,0.019034985207879274,0.036350593173155143,0.17158166126682994,0.011052576511664988,0.013426979324135812,0.015415589394844454,222312705.36666667,92066804.24723187,-0.10085437235666192,-0.24353194997903713,0.001277833018011539,0.013426979324135812,-0.16333217576560308,0.009198513635909648,0.003912069612130563
AAPL,2015-05-20,29.0216,29.2432,28.8892,29.0353,163264655.0,stooq,2026-05-21 19:51:02.287737+00:00,-6.8876927262429e-05,-6.887929938690728e-05,0.029532947550563016,0.039555324824116944,0.1702402927686466,0.009632205883438945,0.013403689311570816,0.015416731741491314,222158912.96666667,92164670.64021893,-0.26509968553682706,-0.6390112128384944,0.0013805856354807873,0.013403689311570816,-0.10813907492558478,0.012192055876812114,-0.000540683879010753
AAPL,2015-05-21,29.0373,29.3887,28.9903,29.3413,177933510.0,stooq,2026-05-21 19:51:02.287737+00:00,0.010538895757922218,0.010483748716918682,0.04401833177959169,0.042556744695063875,0.21270598349238878,0.009215909059865638,0.013460862062000922,0.015177184271109423,223227225.86666667,91432898.48240446,-0.20290408435089613,-0.49537657252966877,0.001477560421666313,0.013460862062000922,0.6731615920673777,0.013578130485015959,6.888167162036871e-05
AAPL,2015-05-22,29.3868,29.6879,29.3442,29.5977,204202803.0,stooq,2026-05-21 19:51:02.287737+00:00,0.008738535784031276,0.008700575763247445,0.051891419310815534,0.04739475695722328,0.2121362284890531,0.008968924050521972,0.013518671111775703,0.01517482530880827,224009496.56666666,91156785.50785425,-0.0884189905795894,-0.21728161492662637,0.0016328756095970916,0.013518671111775703,0.5256182442551369,0.011612388800481063,0.0015507152034845266
AAPL,2015-05-26,29.6074,29.6742,28.8362,28.9481,316464320.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.021947651337772878,-0.022192084140301722,0.005247074348022407,0.026441012112444318,0.1901288877011944,0.011419097275318497,0.014178137178999484,0.015375142876869167,229106886.13333333,91931267.08247507,0.38129554000322485,0.950247251441612,0.0009673442860929045,0.014178137178999484,-1.6162204762560237,0.028948359305101107,0.0003277281680670697
AAPL,2015-05-27,29.0933,29.5339,29.0324,29.4847,205265560.0,stooq,2026-05-21 19:51:02.287737+00:00,0.018536622438087402,0.018366913267622312,0.025351495529581936,0.04985668251170572,0.24622030237580983,0.013132828988887377,0.014496782849801607,0.015149285728759555,232122743.4,89503715.6915302,-0.11570250724513885,-0.3000678038056192,0.001724581543262412,0.014496782849801607,1.159708403513478,0.017008821524383835,0.005015873235203661
AAPL,2015-05-28,29.4397,29.4622,29.2729,29.42,137585319.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.002194358429965293,-0.002196769562329721,0.012252313006857252,0.043651004806754434,0.25342433654145213,0.012880191466697935,0.014508823291555211,0.01511668921489302,232369680.93333334,89222530.51173046,-0.4079033097288062,-1.062336624950036,0.001526812359398999,0.014508823291555211,-0.2564764016066128,0.00643439836845681,-0.001526215291320641
AAPL,2015-05-29,29.3024,29.3542,29.0042,29.0835,227887531.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.01143779741672335,-0.011503712116259016,0.0015910570197643636,0.03661579258773462,0.2080173122772624,0.013830578635865303,0.014659493551940702,0.014985695685797808,235713193.4,87012371.45571785,-0.03319993372929292,-0.0899373533794861,0.0013031761470046403,0.014659493551940702,-0.8691278125390132,0.01203431498959884,-0.003997280761386914
AAPL,2015-06-01,29.2985,29.3413,29.0324,29.1425,143818255.0,stooq,2026-05-21 19:51:02.287737+00:00,0.002028641669675091,0.002026586754817745,0.003692057598853715,0.05073678669421278,0.20087606159627813,0.013843734302555094,0.014460733883674484,0.01497305273196896,232718363.03333333,88616733.38276558,-0.38200727641161586,-1.0031977555451492,0.001752056105103909,0.014460733883674484,0.01912666167541016,0.010599639701466974,0.0073925077793250416
AAPL,2015-06-02,28.9973,29.1677,28.8843,29.0148,150647002.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.004381916445054368,-0.00439154517942176,-0.011127659646982258,0.022584055825755955,0.16550577233616925,0.013193403918050448,0.01392612264933112,0.014773398410927013,230687411.1,89808183.49099694,-0.34696478979212053,-0.891237368229632,0.0008383783885254995,0.01392612264933112,-0.3748563017165874,0.00976742903621601,-0.00498241400017154
AAPL,2015-06-03,29.1706,29.2335,29.0042,29.0471,138760672.0,stooq,2026-05-21 19:51:02.287737+00:00,0.0011132249748404544,0.0011126057993965915,-0.018602796838943503,0.029454919194783047,0.1607232767232769,0.012501641415996977,0.013873454467361332,0.014769043378754154,230455378.7,90043957.35881625,-0.3978848626456467,-1.0183327053763938,0.0010611018271619514,0.013873454467361332,0.0037570417520112085,0.007894075484299585,0.005369673408053796
AAPL,2015-06-04,28.9411,29.1523,28.7874,28.894,172200091.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.005270749919957685,-0.005284689324635566,-0.0018688618596730544,0.010428104826582851,0.15350835169748644,0.009409328954428307,0.013716794047669437,0.01478744498014607,230555754.3,89974957.98891233,-0.25310868287445737,-0.6485767218384388,0.0004367285640706505,0.013716794047669437,-0.41609420278480225,0.01262891949885785,-0.003649245535698973
AAPL,2015-06-05,28.9314,28.9648,28.6596,28.7262,159555841.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.005807434069356909,-0.0058243627880212165,-0.02572520663259259,-0.003883737542565102,0.1884818270205415,0.004573439923671986,0.013675940059640188,0.014283269167160073,229012856.16666666,90806375.98865171,-0.3032887163160768,-0.7648913901744836,-3.941154876703583e-05,0.013675940059640188,-0.42176424402533025,0.010624447368604245,0.0012943863777947551
AAPL,2015-06-08,28.7854,28.8569,28.3171,28.5341,235905459.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.006687275031156181,-0.006709735041672446,-0.030112168592794086,-0.015134989610873784,0.11722304445540765,0.004640519550793503,0.013698378246741284,0.013069356960409801,230201579.53333333,90650065.09551272,0.024777759901689744,0.06292195665449132,-0.0004176702181748445,0.013698378246741284,-0.45768956733785743,0.018917715995948693,0.002060836448956026
AAPL,2015-06-09,28.2877,28.5958,28.0484,28.4534,251021352.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.0028281950368156394,-0.002832201937045579,-0.02166520535698946,-0.03536678803658733,0.08027229480126508,0.0034321946468053683,0.01324902607753922,0.01267944034121071,224034743.2,82050087.2171841,0.12045724879336489,0.3289040842646185,-0.0011148118433927452,0.01324902607753922,-0.12932144471566515,0.019238474136658527,-0.0086352819959276
AAPL,2015-06-10,28.5636,28.8892,28.5418,28.7824,175013180.0,stooq,2026-05-21 19:51:02.287737+00:00,0.011562765785459783,0.011496427885834397,-0.012356523977009481,-0.00840614061681777,0.10904579152602456,0.0064129044852437485,0.013138859982679683,0.012617824335886431,212040856.13333333,57753411.318567224,-0.17462519633504012,-0.6411340090213726,-0.00019802564061299394,0.013138859982679683,0.8951150588084852,0.012069876035354952,0.003872999360357726
AAPL,2015-06-11,28.8501,29.061,28.6844,28.7106,158499328.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.0024945800211240154,-0.002497696670097337,-0.010484304561809932,0.003842563293905421,0.09281293534610713,0.0063232026629742024,0.0128616974585447,0.012568023293930952,207822095.7,56850950.9375096,-0.23733168282163555,-0.8675803462674782,0.000207687000838519,0.0128616974585447,-0.21010189601118917,0.013117106573878632,0.002352131858357958
AAPL,2015-06-12,28.6204,28.6518,28.3829,28.3974,164890677.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.010908862928674323,-0.010968800875694065,-0.022367120986260258,0.020505412048816396,0.08068591782990575,0.0070857758219141625,0.011989504239090858,0.012630997566725128,200846791.46666667,47867432.6481077,-0.17902259829046901,-0.751160287433717,0.0007460175126043911,0.011989504239090858,-0.9720902723632951,0.009469176755618546,-0.0031416967949119625
AAPL,2015-06-15,28.1552,28.4123,28.0699,28.3398,197005804.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.0020283547085296894,-0.002030414605881161,-0.019180452689139593,-0.011565532202822304,0.07041604502275689,0.007034012494082262,0.0106105500147813,0.012615052807918548,198642142.13333333,46399791.46564948,-0.008237618240317688,-0.03526606654137084,-0.00033332880198359746,0.0106105500147813,-0.15974910859331443,0.012081948355316474,-0.00852894983343547
AAPL,2015-06-16,28.3624,28.5418,28.214,28.4939,141047407.0,stooq,2026-05-21 19:51:02.287737+00:00,0.005437582481174763,0.005422852203495102,-0.008086694376562065,-0.004249445230731674,0.06840773167850922,0.0074866737202379605,0.010657361313743645,0.012605693275526434,195700180.7,47179952.88956319,-0.27926787550482823,-1.1583897471862437,-8.708678339742019e-05,0.010657361313743645,0.5183899749600884,0.01150421669199372,0.0007974650491535092
AAPL,2015-06-17,28.5172,28.5496,28.2974,28.4272,147424393.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.0023408519016351326,-0.002343595978602753,-0.003746394664629338,0.016062735454539068,0.0752361175727454,0.007120763468255124,0.00981355250154805,0.012569737020202284,193228147.8,47716718.10717734,-0.2370449405094386,-0.9599099983598917,0.0005777223263610002,0.00981355250154805,-0.29740241645782595,0.00887178476951659,0.0008177188801813366
AAPL,2015-06-18,28.4123,28.6478,28.4093,28.5496,158572364.0,stooq,2026-05-21 19:51:02.287737+00:00,0.0043057353520572494,0.004296492196485759,0.0033809667737423332,0.027111814649589894,0.0725392299398544,0.007243855434650656,0.009742919581569278,0.012559127453891409,187706661.66666666,41171643.9580372,-0.15521184708086674,-0.7076301761562108,0.000937847142623401,0.009742919581569278,0.3456754601367024,0.008353882366127665,-0.0005241458884448979
AAPL,2015-06-19,28.5221,28.5371,28.2219,28.2653,245051070.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.009958107994507914,-0.010008021591699732,-0.01796584023569958,0.010485485485485446,0.041815943503324515,0.006269894526167825,0.00988483891028597,0.01245563012473236,189371033.0,42470413.385805674,0.29402615657696707,1.3110311993951347,0.0003948486658457521,0.00988483891028597,-1.047357145049737,0.011151482559887823,-0.0009632359122370684
AAPL,2015-06-22,28.4693,28.5908,28.3769,28.4939,152446176.0,stooq,2026-05-21 19:51:02.287737+00:00,0.0080876551814415,0.008055125373816578,-0.007547734982898291,-3.509399927714707e-05,0.02626356488634851,0.007454796859734131,0.009384824707924963,0.012243259081070391,186159774.7,41453144.43139914,-0.18110034111466933,-0.8132941218920718,4.131404877067979e-05,0.009384824707924963,0.8573778821756929,0.007506869891450536,0.007217330083176213
AAPL,2015-06-23,28.4673,28.4939,28.33,28.3653,135560141.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.004513246694906603,-0.004523462140911134,-0.00113038517610764,0.005776104161347995,0.008694631731672064,0.006357388584911418,0.009224394900883514,0.012181197541399747,184403168.53333333,42465353.57390044,-0.26487086920366176,-1.1501853492950231,0.00023303898522516464,0.009224394900883514,-0.5145362629344032,0.0057781867281503,-0.0009335331421812529
AAPL,2015-06-24,28.4073,28.9843,28.3858,28.6027,247576953.0,stooq,2026-05-21 19:51:02.287737+00:00,0.008369380898492151,0.00833455182708871,0.009276706257630662,0.017737562357227787,0.012291455792520889,0.007023593773824871,0.009313155882044592,0.012202292357511623,185466188.8,43657866.898588374,0.3348899581204959,1.4226706115595462,0.0006280841206883843,0.009313155882044592,0.8312216477261689,0.020924598027458996,0.0014806823830524633
AAPL,2015-06-25,28.7774,28.8549,28.4721,28.4721,143035892.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.004566002510252409,-0.004576458540026561,-0.0007650760338177021,0.011888007505970632,0.001579473180615798,0.007068748450201,0.009360356721392927,0.012196341164590629,185054740.83333334,44007955.12462975,-0.2270617258661693,-0.9548012106978546,0.0004362695547176535,0.009360356721392927,-0.5344104091180051,0.013444740640837859,0.006107814996486396
AAPL,2015-06-26,28.5046,28.5762,28.2455,28.3003,197354675.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.006033977121462808,-0.006052255124539548,-0.004464034445882836,-0.017248324478244315,-0.011115226567523062,0.007395208697732828,0.008355991311583108,0.01219251051678915,184885063.93333334,43948366.059011385,0.06744520515276999,0.2837332120589688,-0.0005460241669132763,0.008355991311583108,-0.6567686286296288,0.011685388494114912,0.001141468314595652
AAPL,2015-06-29,28.0109,28.2387,27.7941,27.8058,220171016.0,stooq,2026-05-21 19:51:02.287737+00:00,-0.01747331300374899,-0.017627773270459196,-0.02605290441897612,-0.03303345075932773,-0.02639392708581345,0.009312541616684837,0.008909553755437281,0.012328550255617425,186522356.9,44328568.15531626,0.18040013893905493,0.759073899750235,-0.0010806620279971404,0.008909553755437281,-1.839895849525328,0.01598946982284276,-0.010226040006643058
AAPL,2015-06-30,28.0365,28.16,27.8804,28.0041,198715628.0,stooq,2026-05-21 19:51:02.287737+00:00,0.007131605636234051,0.007106295997756197,-0.009241012831988304,-0.036464479990641285,-0.027534118137305996,0.009641004449077483,0.008768736485913276,0.012319990934464767,185558952.36666667,43714447.86530004,0.07090294197897593,0.30096858763660433,-0.001200204342281667,0.008768736485913276,0.9501722388283114,0.009984252305912295,0.008296830157736832
AAPL,2015-07-01,28.3338,28.3437,28.1337,28.2653,135425503.0,stooq,2026-05-21 19:51:02.287737+00:00,0.009327205659171334,0.009283975877274952,-0.008022769785813844,-0.02658649392333301,-0.0443486492882984,0.009850952346718345,0.008977135098079026,0.012015951081797299,183410085.9,44561870.089317754,-0.26162455932855544,-1.0768081053111533,-0.0008587899960106448,0.008977135098079026,1.134659949292913,0.00742960449738716,0.011773276056006048
