ticker,date,open,high,low,close,volume,source,collected_at
AAPL,2015-01-02,24.669,24.6806,23.778,24.2147,240183600.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-05,23.9812,24.0577,23.3482,23.5335,290119719.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-06,23.624,23.7937,23.1725,23.5355,296876144.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-07,23.7466,23.9596,23.6289,23.8694,180894952.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-08,24.1929,24.8437,24.0704,24.7847,267891009.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-09,24.9553,25.0781,24.4158,24.8114,242390801.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-12,24.9417,24.9457,24.0949,24.1949,224048420.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-13,24.6786,24.9849,24.1213,24.4178,302827635.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-14,24.151,24.4738,24.0283,24.3235,220764965.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-15,24.3688,24.3813,23.622,23.6593,270474099.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-16,23.7093,23.8289,23.3013,23.4717,354423593.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-20,23.8907,24.09,23.5839,24.0754,371821920.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-21,24.1313,24.5951,23.9762,24.2677,247872840.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-22,24.4295,24.9093,24.3069,24.8946,345467079.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-23,24.88,25.1921,24.7033,25.025,227807011.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-26,25.1902,25.3274,24.9849,25.0488,250861424.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-27,24.8995,24.9122,24.149,24.1705,429583797.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-28,26.0504,26.1653,25.5402,25.5402,665808898.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-29,25.7631,26.4028,25.598,26.3391,380976601.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-01-30,26.2233,26.5734,25.8798,25.9524,377956369.0,stooq,2026-05-21 19:51:02.287737+00:00
AAPL,2015-02-02,26.1476,26.3978,25.7103,26.2722,282860046.0,stooq,2026-05-21 19:51:02.287737+00:00
