ticker,reference_date,fiscal_year,fiscal_period,assets,cash_and_equivalents,net_income,operating_income,rd_expense,revenue,stockholders_equity,operating_margin,net_margin,cash_to_assets,equity_to_assets,rd_to_revenue,revenue_growth_qoq,revenue_growth_yoy,net_income_growth_qoq,net_income_growth_yoy,assets_growth_qoq
AAPL,2015-03-28,2016.0,Q2,261194000000.0,14489000000.0,31593000000.0,42524000000.0,3813000000.0,,129006000000.0,,,0.055472177768248886,0.4939087421609991,,,,0.7528295605858855,0.7528295605858855,-0.0026728371020336983
AAPL,2015-06-27,2016.0,Q3,273151000000.0,15319000000.0,42270000000.0,56607000000.0,5847000000.0,,125677000000.0,,,0.05608253310440013,0.4601008233541155,,,,2.958977240797977,2.115189033827106,0.0
AAPL,2015-09-26,2017.0,Q2,290479000000.0,21120000000.0,53394000000.0,71230000000.0,8067000000.0,,119355000000.0,,,0.07270749348489908,0.41089028811032813,,,,0.0,0.2631653655074522,0.0
AAPL,2015-12-26,2017.0,Q1,293284000000.0,16689000000.0,18361000000.0,24171000000.0,2404000000.0,,128267000000.0,,,0.05690388838122775,0.43734741752021933,,,,0.0,-0.656122410757763,0.0
AAPL,2016-03-26,2017.0,Q2,305277000000.0,21514000000.0,28877000000.0,38158000000.0,4915000000.0,,130457000000.0,,,0.07047370093390593,0.4273397602832837,,,,1.746006085964245,0.5727356897772453,0.0
AAPL,2016-06-25,2017.0,Q3,305602000000.0,18237000000.0,36673000000.0,48263000000.0,7475000000.0,,126541000000.0,,,0.059675656572928185,0.41407124298924747,,,,0.2699726425875264,2.4873526055534425,0.0010646068979975887
AAPL,2016-09-24,2018.0,Q1,321686000000.0,20484000000.0,45687000000.0,60024000000.0,10045000000.0,215639000000.0,128249000000.0,0.27835410106706115,0.211867983064288,0.06367700179678319,0.39867759243485884,0.046582482760539605,0.0,,0.0,0.0,0.0
AAPL,2016-12-31,2018.0,Q1,331141000000.0,16371000000.0,17891000000.0,23359000000.0,2871000000.0,78351000000.0,132390000000.0,0.2981327615473957,0.22834424576584855,0.04943815474374964,0.399799481187772,0.0366427997090018,-0.6366566344677911,-0.6366566344677911,-0.6084006391314816,-0.6084006391314816,0.02939201581666584
AAPL,2017-04-01,2018.0,Q2,334532000000.0,15157000000.0,28920000000.0,37456000000.0,5647000000.0,52896000000.0,134082000000.0,0.7081064730792499,0.5467332123411979,0.04530807217246781,0.40080470627623066,0.10675665456745312,0.0,-0.7547011440416622,1.6221778946413998,0.6164552009390196,0.0
AAPL,2017-07-01,2018.0,Q3,345173000000.0,18571000000.0,37637000000.0,48224000000.0,8584000000.0,45408000000.0,132425000000.0,1.062015503875969,0.8288627554615927,0.053802006530058843,0.38364819959846225,0.1890415785764623,0.0,-0.14156079854809434,3.31765515659057,0.30141770401106505,0.0
AAPL,2017-09-30,2019.0,Q3,375319000000.0,20289000000.0,48351000000.0,61344000000.0,11581000000.0,229234000000.0,134047000000.0,0.2676042820872994,0.21092420845075338,0.05405801464887203,0.3571548469435334,0.05052042890670668,4.048317477096547,3.333673623714459,0.28466668437973275,4.546747734312263,0.0873359156133302
AAPL,2017-12-30,2019.0,Q1,406794000000.0,27491000000.0,20065000000.0,26274000000.0,3407000000.0,88293000000.0,140199000000.0,0.29757738439060855,0.22725470875380835,0.06757965948366987,0.34464372630864765,0.03858743048712809,0.0,-0.614834623136184,0.0,-0.585013753593514,0.0
AAPL,2018-03-31,2019.0,Q2,367502000000.0,45059000000.0,33887000000.0,42168000000.0,6785000000.0,149430000000.0,126878000000.0,0.2821923308572576,0.22677507863213545,0.12260885655044054,0.3452443796224238,0.045405875660844544,1.444182737131361,0.6924331487207367,1.4516712487339025,0.6888612010964366,0.0
AAPL,2018-06-30,2019.0,Q3,349197000000.0,31971000000.0,45406000000.0,54780000000.0,10486000000.0,202695000000.0,114949000000.0,0.27025826981425294,0.22401144576827253,0.09155576937946203,0.329180949435419,0.05173289918350231,2.805406927626021,0.3564545272033728,2.941835228752496,0.33992386460884716,0.0
AAPL,2018-09-29,2020.0,Q3,365725000000.0,25913000000.0,59531000000.0,70898000000.0,14236000000.0,265595000000.0,107147000000.0,0.26694026619477024,0.22414202074587247,0.07085378358055916,0.29297149497573316,0.05360040663416103,0.3103184587680998,3.9862949403923773,0.3110822358278642,4.168070144977863,0.04733144901015751
AAPL,2018-12-29,2020.0,Q1,373719000000.0,44771000000.0,19965000000.0,23346000000.0,3902000000.0,84310000000.0,117892000000.0,0.27690665401494485,0.23680464950776894,0.11979856523216642,0.315456265268825,0.0462815798837623,0.0,0.0,0.0,0.0,0.0
AAPL,2019-03-30,2020.0,Q3,341998000000.0,37988000000.0,31526000000.0,36761000000.0,7850000000.0,142325000000.0,105860000000.0,0.2582891269980678,0.2215071139996487,0.11107667296299978,0.3095339738828882,0.05515545406639733,0.6881152888150872,0.6881152888150872,0.5790633608815428,0.5790633608815428,-0.08487928095708275
AAPL,2019-06-29,2020.0,Q3,322239000000.0,50530000000.0,41570000000.0,48305000000.0,12107000000.0,196134000000.0,96456000000.0,0.24628570263187413,0.2119469342388367,0.15680907649291365,0.29933062106076547,0.06172820622635545,2.6450036239290826,0.3780713156507993,3.13878932696137,0.31859417623548825,0.0
AAPL,2019-09-28,2021.0,Q1,338516000000.0,48844000000.0,55256000000.0,63930000000.0,16217000000.0,260174000000.0,90488000000.0,0.24572017188496928,0.21238094505984456,0.1442886008342294,0.2673078968202389,0.06233136285716482,0.32651146665035125,3.8351391031240123,0.3292278085157565,4.501393866985265,0.05051219746833868
AAPL,2019-12-28,2021.0,Q1,340618000000.0,39771000000.0,22236000000.0,25569000000.0,4451000000.0,91819000000.0,89531000000.0,0.2784717759940753,0.2421720994565395,0.11676129858081487,0.2628487044137421,0.048475805661137676,-0.6470861807867043,-0.6470861807867043,-0.5975821630230201,-0.5975821630230201,0.006209455387633067
AAPL,2020-03-28,2021.0,Q2,320400000000.0,40174000000.0,33485000000.0,38422000000.0,9016000000.0,150132000000.0,78425000000.0,0.25592145578557535,0.22303706071989982,0.12538701622971285,0.2447721598002497,0.06005381930567767,0.0,0.6350864200219999,0.0,0.505891347364634,0.0
AAPL,2020-06-27,2021.0,Q3,317344000000.0,33383000000.0,44738000000.0,51513000000.0,13774000000.0,209817000000.0,72282000000.0,0.24551394786885714,0.21322390464071073,0.10519499344559846,0.2277717555712413,0.06564768345748914,2.515405880874592,0.3975501558628407,2.9756509375277704,0.3360609228012543,-0.00953807740324597
AAPL,2020-09-26,2022.0,Q3,323888000000.0,38016000000.0,57411000000.0,66288000000.0,18752000000.0,274515000000.0,65339000000.0,0.24147314354406862,0.20913611278072236,0.11737390702959048,0.20173331522007606,0.06830956414039306,0.3083544231401649,0.8284909279833745,0.283271491796683,0.7145288935344183,0.020621155591408646
AAPL,2020-12-26,2022.0,Q1,354054000000.0,36010000000.0,28755000000.0,33534000000.0,5163000000.0,111439000000.0,66224000000.0,0.30091799100853384,0.25803354301456405,0.10170764911567162,0.18704491405265863,0.04633027934565098,0.0,-0.5940513268855983,0.0,-0.4991377958927732,0.0
AAPL,2021-03-27,2022.0,Q3,337158000000.0,38466000000.0,52385000000.0,61037000000.0,10425000000.0,201023000000.0,69178000000.0,0.3036319227153112,0.26059207155400127,0.11408894346270888,0.2051797673494326,0.05185973744297916,0.8038837390859574,0.8038837390859574,0.8217701269344462,0.8217701269344462,-0.0477215340032876
AAPL,2021-06-26,2022.0,Q3,329840000000.0,34050000000.0,74129000000.0,85163000000.0,16142000000.0,282457000000.0,64280000000.0,0.30150784013141824,0.2624434869732384,0.10323186999757458,0.19488236720834343,0.05714852172189041,0.0,0.40509792411813583,0.0,0.4150806528586428,0.0
AAPL,2021-09-25,2023.0,Q1,351002000000.0,34940000000.0,94680000000.0,108949000000.0,21914000000.0,365817000000.0,63090000000.0,0.29782377527561593,0.2588179335569424,0.09954359234420317,0.17974256556942694,0.059904269074427925,0.2951245676333034,0.8197768414559528,0.27723293178108444,0.807387610957335,0.06415837982051897
AAPL,2021-12-25,2023.0,Q1,381191000000.0,37119000000.0,34630000000.0,41488000000.0,6306000000.0,123945000000.0,71932000000.0,0.3347291137197951,0.2793981201339304,0.09737638086943291,0.18870330096985502,0.050877405300738233,0.0,-0.6611830505416643,0.0,-0.6342416561047739,0.0
AAPL,2022-03-26,2023.0,Q2,350662000000.0,28098000000.0,59640000000.0,71467000000.0,12693000000.0,221223000000.0,67399000000.0,0.32305411281828744,0.2695922214236314,0.08012844277395327,0.19220502934449699,0.05737649340258472,0.0,0.7848481181169067,0.0,0.7222061796130523,0.0
AAPL,2022-06-25,2023.0,Q3,336309000000.0,27502000000.0,79082000000.0,94543000000.0,19490000000.0,304182000000.0,58107000000.0,0.31081063310781043,0.25998251047070503,0.0817759857749867,0.17277860538968626,0.0640734823230829,0.3750016951221167,0.3750016951221167,0.3259892689470154,0.3259892689470154,-0.04093115307618167
AAPL,2022-09-24,2024.0,Q1,352755000000.0,23646000000.0,99803000000.0,119437000000.0,26251000000.0,394328000000.0,50672000000.0,0.30288744395528594,0.2530964070519973,0.067032359569673,0.1436464401638531,0.06657148363798665,0.0,0.0,0.0,0.0,0.0
AAPL,2022-12-31,2024.0,Q2,346747000000.0,20535000000.0,29998000000.0,36016000000.0,7709000000.0,117154000000.0,56727000000.0,0.30742441572630896,0.2560561312460522,0.05922185339743386,0.16359766631001854,0.06580227734435017,-0.702902152522773,-0.702902152522773,-0.6994278729096319,-0.6994278729096319,-0.017031650862496583
AAPL,2023-04-01,2024.0,Q2,332160000000.0,24687000000.0,54158000000.0,64334000000.0,15166000000.0,211990000000.0,62158000000.0,0.30347657908391906,0.25547431482617106,0.07432261560693641,0.1871327071290944,0.07154111042973725,0.0,0.8094986086689315,0.0,0.8053870258017202,0.0
AAPL,2023-07-01,2024.0,Q3,335038000000.0,28408000000.0,74039000000.0,87332000000.0,22608000000.0,293787000000.0,60274000000.0,0.2972629830455398,0.2520159162930967,0.08479038198652093,0.1799019812677965,0.0769537113623135,0.0,0.38585310627859815,0.0,0.36709258096680086,0.0
AAPL,2023-09-30,2025.0,Q3,352583000000.0,29965000000.0,96995000000.0,114301000000.0,29915000000.0,383285000000.0,62146000000.0,0.2982141226502472,0.2530623426432028,0.08498708105609176,0.17625920705195655,0.07804897139204509,0.30463567142181236,0.8080333978017831,0.3100528100055375,0.7909634772332803,0.05236719416901958
AAPL,2023-12-30,2025.0,Q1,353514000000.0,40760000000.0,33916000000.0,40373000000.0,7696000000.0,119575000000.0,74100000000.0,0.337637466025507,0.2836378841731131,0.11529953552051687,0.20960980328926151,0.06436127953167468,0.0,-0.6880258815241922,0.0,-0.6503324913655343,0.0
